x_turb2,y_turb2,wind_speed,wind_direction,turbulence_intensity,turbine1_power,turbine2_powers,farm_power
350.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
350.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
350.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
400.0,0.0,8.0,270.0,0.06,1753.954459179171,317.69508319176583,2071.6495423709366
400.0,50.0,8.0,270.0,0.06,1753.954459179171,775.5386880057712,2529.493147184942
400.0,100.0,8.0,270.0,0.06,1753.954459179171,1472.732838906805,3226.6872980859757
400.0,150.0,8.0,270.0,0.06,1753.954459179171,1732.2373667701595,3486.1918259493305
400.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.5334100047173,3507.487869183888
400.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.9522954050915,3507.906754584262
400.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544562711703,3507.9089154503413
400.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591781573,3507.9089183573287
400.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
400.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
400.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
400.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
450.0,0.0,8.0,270.0,0.06,1753.954459179171,336.9631924333755,2090.9176516125463
450.0,50.0,8.0,270.0,0.06,1753.954459179171,787.7080465692154,2541.6625057483866
450.0,100.0,8.0,270.0,0.06,1753.954459179171,1472.1265880407414,3226.0810472199123
450.0,150.0,8.0,270.0,0.06,1753.954459179171,1731.1820276923288,3485.1364868714995
450.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.4791691427772,3507.433628321948
450.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.9517582664007,3507.906217445572
450.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544550561627,3507.908914235334
450.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.954459177495,3507.9089183566657
450.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
450.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
450.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
450.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
500.0,0.0,8.0,270.0,0.06,1753.954459179171,354.99076412771217,2108.9452233068832
500.0,50.0,8.0,270.0,0.06,1753.954459179171,799.2320676845588,2553.18652686373
500.0,100.0,8.0,270.0,0.06,1753.954459179171,1471.3634786615917,3225.3179378407626
500.0,150.0,8.0,270.0,0.06,1753.954459179171,1730.091980661491,3484.0464398406625
500.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.4194730781069,3507.373932257278
500.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.9511073159008,3507.9055664950715
500.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544533889125,3507.9089125680835
500.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591764366,3507.9089183556075
500.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
500.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
500.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
500.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
550.0,0.0,8.0,270.0,0.06,1753.954459179171,371.95198559081007,2125.9064447699807
550.0,50.0,8.0,270.0,0.06,1753.954459179171,810.2169585632952,2564.171417742466
550.0,100.0,8.0,270.0,0.06,1753.954459179171,1470.483494353567,3224.4379535327375
550.0,150.0,8.0,270.0,0.06,1753.954459179171,1728.969909451243,3482.924368630414
550.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.3540159087408,3507.308475087912
550.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.950323220703,3507.904782399874
